,FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
0,2025-08-21,1.2988,1.4911,,,1,0.05,开放申购,开放赎回,,,,
1,2025-08-20,1.2981,1.4904,,,1,0.22,开放申购,开放赎回,,,,
2,2025-08-19,1.2952,1.4875,,,1,0.03,开放申购,开放赎回,,,,
3,2025-08-18,1.2948,1.4871,,,1,0.19,开放申购,开放赎回,,,,
4,2025-08-15,1.2924,1.4847,,,1,0.21,开放申购,开放赎回,,,,
5,2025-08-14,1.2897,1.4820,,,1,-0.24,开放申购,开放赎回,,,,
6,2025-08-13,1.2928,1.4851,,,1,0.04,开放申购,开放赎回,,,,
7,2025-08-12,1.2923,1.4846,,,1,-0.09,开放申购,开放赎回,,,,
8,2025-08-11,1.2935,1.4858,,,1,0.15,开放申购,开放赎回,,,,
9,2025-08-08,1.2916,1.4839,,,1,0.10,开放申购,开放赎回,,,,
10,2025-08-07,1.2903,1.4826,,,1,0.09,开放申购,开放赎回,,,,
11,2025-08-06,1.2891,1.4814,,,1,0.09,开放申购,开放赎回,,,,
12,2025-08-05,1.2880,1.4803,,,1,0.14,开放申购,开放赎回,,,,
13,2025-08-04,1.2862,1.4785,,,1,0.12,开放申购,开放赎回,,,,
14,2025-08-01,1.2847,1.4770,,,1,0.04,开放申购,开放赎回,,,,
15,2025-07-31,1.2842,1.4765,,,1,-0.41,开放申购,开放赎回,,,,
16,2025-07-30,1.2895,1.4818,,,1,0.09,开放申购,开放赎回,,,,
17,2025-07-29,1.2883,1.4806,,,1,-0.03,开放申购,开放赎回,,,,
18,2025-07-28,1.2887,1.4810,,,1,-0.15,开放申购,开放赎回,,,,
19,2025-07-25,1.2906,1.4829,,,1,-0.30,开放申购,开放赎回,,,,
20,2025-07-24,1.2945,1.4868,,,1,0.72,开放申购,开放赎回,,,,
21,2025-07-23,1.2853,1.4776,,,1,-0.16,开放申购,开放赎回,,,,
22,2025-07-22,1.2874,1.4797,,,1,0.49,开放申购,开放赎回,,,,
